estacion,dia_semana,hora,es_hora_pico,es_finde_semana,afluencia_1,afluencia_2,afluencia_3,afluencia_4,afluencia_promedio,capacidad_estacion,porcentaje_ocupacion,tiempo_espera_min,nivel_congestion,clima,evento_especial
Universidad,Sabado,12,1,1,1990,970,1798,1734,1623.0,5000,32.5,18.0,Bajo,Lluvia,0
Sabaneta,Viernes,4,0,0,344,543,180,530,399.2,5000,8.0,7.2,Bajo,Soleado,0
San Javier,Viernes,15,0,0,878,525,604,1210,804.2,5000,16.1,6.9,Bajo,Nublado,0
Madera,Martes,7,1,0,1534,1204,3191,2160,2022.2,5000,40.4,14.2,Bajo,Soleado,1
Universidad,Martes,14,1,0,906,3002,3608,1085,2150.2,5000,43.0,18.6,Bajo,Soleado,0
La Estrella,Jueves,17,1,0,811,3677,1653,807,1737.0,5000,34.7,12.5,Bajo,Nublado,0
San Javier,Sabado,10,0,1,869,921,872,372,758.5,5000,15.2,8.8,Bajo,Tormenta,0
Caribe,Lunes,14,1,0,1936,955,1351,1097,1334.8,5000,26.7,7.5,Bajo,Tormenta,0
Prado,Martes,8,1,0,2822,1541,1231,2520,2028.5,5000,40.6,18.6,Bajo,Tormenta,0
Parque Berrio,Sabado,16,0,1,2996,894,1882,1295,1766.8,5000,35.3,11.4,Bajo,Lluvia,0
Bello,Miercoles,17,1,0,3269,1870,2672,1668,2369.8,5000,47.4,12.9,Bajo,Tormenta,0
La Estrella,Viernes,10,0,0,1709,1751,1109,984,1388.2,5000,27.8,11.0,Bajo,Soleado,0
Tricentenario,Martes,0,0,0,193,548,170,426,334.2,5000,6.7,6.2,Bajo,Lluvia,0
Universidad,Viernes,23,0,0,538,624,357,294,453.2,5000,9.1,7.6,Bajo,Nublado,0
Hospital,Sabado,10,0,1,1439,390,1326,1002,1039.2,5000,20.8,6.6,Bajo,Nublado,0
San Javier,Viernes,20,0,0,1472,1724,1649,722,1391.8,5000,27.8,12.6,Bajo,Nublado,0
Alpujarra,Lunes,23,0,0,262,476,327,565,407.5,5000,8.2,5.1,Bajo,Nublado,0
Envigado,Viernes,13,1,0,2379,2602,1609,2598,2297.0,5000,45.9,9.1,Bajo,Tormenta,1
Madera,Sabado,2,0,1,266,261,382,358,316.8,5000,6.3,13.9,Bajo,Lluvia,0
Envigado,Lunes,10,0,0,935,1234,1604,1001,1193.5,5000,23.9,4.6,Bajo,Soleado,1
Madera,Jueves,0,0,0,464,524,574,261,455.8,5000,9.1,11.0,Bajo,Tormenta,0
Acevedo,Miercoles,7,1,0,6405,2045,5926,3180,4389.0,5000,87.8,10.5,Alto,Soleado,0
Floresta,Martes,10,0,0,1401,930,1185,1407,1230.8,5000,24.6,3.3,Bajo,Soleado,0
San Antonio,Martes,20,0,0,2913,1581,1149,1093,1684.0,5000,33.7,11.0,Bajo,Soleado,0
Estadio,Martes,7,1,0,1944,1390,1205,2507,1761.5,5000,35.2,19.0,Bajo,Tormenta,0
Universidad,Lunes,1,0,0,351,594,216,331,373.0,5000,7.5,10.9,Bajo,Lluvia,0
Universidad,Jueves,0,0,0,478,424,488,548,484.5,5000,9.7,3.6,Bajo,Lluvia,1
Cisneros,Viernes,3,0,0,197,315,313,336,290.2,5000,5.8,4.6,Bajo,Lluvia,1
Floresta,Lunes,14,1,0,2926,3341,1899,1528,2423.5,5000,48.5,17.0,Bajo,Tormenta,1
Industriales,Jueves,12,1,0,979,2514,1851,1022,1591.5,5000,31.8,15.0,Bajo,Lluvia,0
Floresta,Viernes,4,0,0,306,235,228,486,313.8,5000,6.3,10.8,Bajo,Lluvia,0
Itagui,Martes,16,0,0,1875,1208,945,627,1163.8,5000,23.3,9.2,Bajo,Nublado,0
Ayura,Domingo,3,0,1,268,227,191,328,253.5,5000,5.1,3.9,Bajo,Soleado,0
Ayura,Viernes,18,1,0,3565,1640,2831,2428,2616.0,5000,52.3,11.1,Medio,Soleado,0
Ayura,Viernes,14,1,0,2461,707,1301,2805,1818.5,5000,36.4,16.3,Bajo,Lluvia,0
Tricentenario,Miercoles,4,0,0,604,276,501,255,409.0,5000,8.2,13.8,Bajo,Tormenta,1
San Antonio,Martes,15,0,0,1360,1618,3580,2824,2345.5,5000,46.9,5.1,Bajo,Nublado,1
San Javier,Jueves,5,0,0,386,431,278,575,417.5,5000,8.3,6.2,Bajo,Tormenta,0
Acevedo,Miercoles,6,1,0,4136,2903,3730,3061,3457.5,5000,69.2,13.4,Medio,Nublado,0
Acevedo,Miercoles,10,0,0,1452,1872,2605,3253,2295.5,5000,45.9,10.3,Bajo,Tormenta,0
Poblado,Miercoles,20,0,0,3082,2527,2518,3758,2971.2,5000,59.4,13.1,Medio,Tormenta,0
Sabaneta,Lunes,21,0,0,827,1461,1584,1915,1446.8,5000,28.9,5.6,Bajo,Soleado,0
Bello,Martes,2,0,0,157,518,188,529,348.0,5000,7.0,11.0,Bajo,Tormenta,0
Envigado,Martes,8,1,0,3281,994,974,1929,1794.5,5000,35.9,13.1,Bajo,Nublado,0
Cisneros,Viernes,0,0,0,439,249,766,673,531.8,5000,10.6,7.5,Bajo,Tormenta,0
Industriales,Sabado,22,0,1,973,785,729,486,743.2,5000,14.9,6.9,Bajo,Tormenta,1
Prado,Lunes,3,0,0,590,289,258,221,339.5,5000,6.8,14.8,Bajo,Soleado,0
Universidad,Miercoles,8,1,0,3645,2438,2254,2628,2741.2,5000,54.8,20.2,Medio,Nublado,0
Cisneros,Martes,6,1,0,2365,2214,2810,1512,2225.2,5000,44.5,12.8,Bajo,Lluvia,1
Ayura,Jueves,15,0,0,1623,1022,1640,1975,1565.0,5000,31.3,11.5,Bajo,Lluvia,1
Santa Lucia,Sabado,15,0,1,369,779,1253,601,750.5,5000,15.0,13.3,Bajo,Soleado,1
Itagui,Lunes,5,0,0,613,279,585,694,542.8,5000,10.9,13.9,Bajo,Nublado,1
San Javier,Lunes,12,1,0,3420,3717,3268,1584,2997.2,5000,59.9,3.4,Medio,Nublado,1
Suramericana,Jueves,1,0,0,221,202,181,183,196.8,5000,3.9,7.8,Bajo,Tormenta,0
Acevedo,Viernes,6,1,0,3743,4114,5110,4094,4265.2,5000,85.3,15.3,Alto,Tormenta,0
Niquia,Sabado,8,1,1,4489,1160,2044,3031,2681.0,5000,53.6,10.8,Medio,Nublado,1
