estacion,dia_semana,hora,es_hora_pico,es_finde_semana,demanda_pasajeros,tiempo_espera_min,transferencias_disponibles,ingresos_diarios,clima,num_tipos_transporte,tiene_metro,tiene_bus,tiene_taxi,tiene_cable,evento_especial
La Estrella,Jueves,0,0,0,1301,4.4,0,4259070.0,Tormenta,1,0,0,0,0,0
Niquia,Lunes,6,1,0,6427,12.1,4,19882978.0,Tormenta,3,1,1,1,0,0
Prado,Viernes,6,1,0,624,4.2,2,2010908.0,Lluvia,4,1,1,0,1,0
Itagui,Miercoles,22,0,0,346,9.5,2,1207421.0,Lluvia,1,0,0,0,1,1
La Estrella,Domingo,5,0,1,859,4.9,0,2771470.0,Tormenta,2,0,1,0,1,0
La Estrella,Viernes,17,1,0,2812,15.7,1,9491236.0,Nublado,4,1,1,1,1,1
Exposiciones,Miercoles,14,1,0,896,15.2,4,2673592.0,Soleado,4,1,1,1,1,0
Acevedo,Jueves,20,0,0,3229,8.8,3,9903774.0,Soleado,3,1,0,1,0,0
Estadio,Martes,10,0,0,600,6.9,3,1681363.0,Soleado,3,0,1,1,0,0
Cisneros,Lunes,16,0,0,456,6.2,1,1448970.0,Lluvia,1,0,0,0,0,1
Niquia,Jueves,11,1,0,3791,17.4,0,10842099.0,Nublado,1,0,0,0,0,0
San Javier,Lunes,17,1,0,2367,12.9,1,8166717.0,Lluvia,2,0,0,1,1,1
Ayura,Miercoles,3,0,0,530,2.5,0,1702263.0,Soleado,2,1,0,0,0,0
Madera,Viernes,10,0,0,826,4.6,3,2436672.0,Soleado,4,1,1,0,1,0
San Javier,Sabado,11,1,1,2044,14.0,0,5809925.0,Nublado,1,0,1,0,0,0
Envigado,Lunes,4,0,0,487,5.1,1,1661712.0,Soleado,1,1,0,0,0,0
Estadio,Viernes,5,0,0,797,7.4,3,2735073.0,Lluvia,1,0,0,0,1,1
Parque Berrio,Martes,22,0,0,458,4.0,1,1592968.0,Soleado,1,0,0,1,0,0
Itagui,Martes,16,0,0,358,13.0,0,1215746.0,Tormenta,1,0,1,0,0,0
Itagui,Miercoles,18,1,0,1439,13.7,4,4555799.0,Lluvia,2,0,1,1,0,1
Tricentenario,Miercoles,20,0,0,768,5.5,0,2155408.0,Nublado,1,1,0,0,0,0
Tricentenario,Sabado,2,0,1,396,6.9,4,1303821.0,Lluvia,1,0,0,0,0,0
Tricentenario,Viernes,3,0,0,1060,8.3,2,3177063.0,Tormenta,3,0,1,1,1,0
Bello,Lunes,20,0,0,1149,5.0,0,3485480.0,Tormenta,3,0,1,1,1,0
Acevedo,Sabado,22,0,1,1907,6.1,4,5537290.0,Nublado,3,1,1,1,0,0
San Javier,Sabado,11,1,1,375,14.6,1,4271239.0,Nublado,3,0,1,0,1,0
Exposiciones,Lunes,15,0,0,504,11.4,3,1534559.0,Nublado,2,1,1,0,0,1
San Antonio,Viernes,2,0,0,2938,9.3,3,9623897.0,Nublado,3,1,1,0,0,0
Bello,Martes,19,1,0,1217,7.9,4,4246071.0,Tormenta,2,1,0,1,0,0
Ayura,Viernes,21,0,0,672,6.8,2,2174732.0,Lluvia,1,0,0,1,0,1
San Antonio,Sabado,22,0,1,2028,6.7,3,6639921.0,Lluvia,3,1,1,0,1,0
Industriales,Viernes,19,1,0,1335,14.0,4,4180192.0,Lluvia,2,1,0,1,0,0
Cisneros,Jueves,21,0,0,530,11.2,1,1493062.0,Nublado,4,1,1,1,0,1
Aguacatala,Jueves,7,1,0,1790,17.7,0,5987361.0,Nublado,4,1,1,0,1,1
San Javier,Lunes,17,1,0,3081,14.8,4,9547152.0,Nublado,4,0,1,1,1,0
Estadio,Miercoles,15,0,0,581,6.9,2,1722169.0,Nublado,1,0,1,0,0,0
Exposiciones,Lunes,4,0,0,365,6.7,2,1160637.0,Soleado,2,0,0,0,1,1
Aguacatala,Sabado,11,1,1,1392,16.7,4,4625979.0,Lluvia,2,0,1,0,1,1
Aguacatala,Miercoles,12,1,0,1810,9.4,1,6132921.0,Soleado,1,0,0,0,1,0
La Estrella,Viernes,4,0,0,1172,2.4,3,3550160.0,Lluvia,3,0,1,1,1,0
Aguacatala,Viernes,23,0,0,658,4.4,0,2202236.0,Nublado,1,0,1,0,0,0
Sabaneta,Jueves,7,1,0,1438,12.1,1,4494503.0,Lluvia,3,1,1,0,1,0
Itagui,Martes,9,0,0,706,12.8,1,2014357.0,Soleado,2,1,0,1,0,0
Alpujarra,Martes,13,1,0,3123,8.4,3,10542098.0,Nublado,3,0,1,0,1,0
Sabaneta,Viernes,15,0,0,746,11.5,4,2228956.0,Tormenta,1,0,0,1,0,0
Estadio,Martes,18,1,0,975,17.0,1,3062753.0,Lluvia,3,0,0,1,1,0
Ayura,Martes,2,0,0,1037,6.6,4,3453952.0,Nublado,4,1,1,0,1,1
Santa Lucia,Lunes,9,0,0,784,8.3,2,2428716.0,Lluvia,3,0,1,1,1,0
Hospital,Lunes,23,0,0,623,3.2,4,2159078.0,Lluvia,2,0,1,0,1,0
Acevedo,Jueves,9,0,0,2978,3.9,0,9814335.0,Lluvia,1,1,0,0,0,0
La Estrella,Martes,3,0,0,1975,5.1,3,6138948.0,Tormenta,1,0,0,1,0,0
Cisneros,Lunes,12,1,0,670,14.2,1,1945974.0,Tormenta,3,1,1,0,0,0
Estadio,Jueves,12,1,0,1241,12.5,3,3740084.0,Nublado,1,0,1,0,0,0
San Javier,Martes,5,0,0,1155,8.3,1,3236163.0,Lluvia,4,1,1,1,1,1
Madera,Jueves,7,1,0,2096,12.6,1,6492564.0,Soleado,2,0,1,1,0,0
Caribe,Sabado,19,1,1,826,14.4,2,2602173.0,Soleado,1,0,0,0,0,1
Floresta,Domingo,19,1,1,118,46.2,4,1271550.0,Tormenta,3,1,0,0,1,1
Prado,Jueves,18,1,0,1811,19.0,3,5511910.0,Lluvia,1,0,1,0,0,1
Santa Lucia,Jueves,9,0,0,1133,10.7,0,3533122.0,Soleado,3,1,0,1,1,1
Industriales,Martes,6,1,0,1759,13.2,0,5175841.0,Soleado,3,1,0,0,1,0
Santa Lucia,Domingo,9,0,1,538,4.4,0,1680181.0,Lluvia,2,0,0,1,1,1
Cisneros,Viernes,15,0,0,767,8.2,3,2249939.0,Tormenta,2,1,0,1,0,0
Suramericana,Miercoles,8,1,0,1097,16.8,4,3838657.0,Lluvia,2,0,0,0,1,0
Envigado,Lunes,12,1,0,1216,19.2,1,3891514.0,Tormenta,4,1,1,1,1,1
San Javier,Domingo,4,0,1,470,13.1,2,1602131.0,Tormenta,4,1,0,1,1,0
Madera,Viernes,8,1,0,1731,13.6,2,5879582.0,Soleado,4,1,0,1,1,0
La Estrella,Miercoles,9,0,0,985,6.9,0,3282275.0,Nublado,1,0,0,0,1,0
Niquia,Viernes,10,0,0,2701,6.0,3,7838029.0,Soleado,2,0,1,0,0,1
Sabaneta,Martes,7,1,0,1409,10.4,2,4398474.0,Lluvia,4,1,1,1,1,0
La Estrella,Miercoles,22,0,0,1735,11.7,1,6071739.0,Tormenta,1,0,1,0,0,0
Itagui,Domingo,22,0,1,255,9.5,2,715445.0,Tormenta,1,0,0,0,0,0
Estadio,Lunes,19,1,0,952,13.1,1,3084265.0,Tormenta,1,0,0,1,0,0
Itagui,Domingo,23,0,1,302,5.6,3,882730.0,Lluvia,3,1,0,1,0,1
Suramericana,Domingo,23,0,1,600,13.1,1,1996744.0,Soleado,4,1,1,1,0,0
Envigado,Miercoles,14,1,0,1852,7.0,3,6251782.0,Tormenta,1,0,1,0,0,0
Sabaneta,Miercoles,10,0,0,963,2.5,3,3309418.0,Lluvia,4,1,1,1,0,1
Acevedo,Miercoles,7,1,0,5337,13.9,4,16509416.0,Tormenta,2,1,0,0,1,1
Prado,Viernes,22,0,0,522,7.0,1,1774182.0,Tormenta,3,1,0,1,0,0
Universidad,Martes,14,1,0,1570,13.4,0,4451586.0,Soleado,2,0,1,0,0,0
Itagui,Lunes,7,1,0,1718,17.8,0,5143851.0,Nublado,2,0,0,1,0,0
San Javier,Martes,4,0,0,459,25.0,1,4924298.0,Soleado,2,1,0,0,1,1
Poblado,Sabado,16,0,1,5200,12.9,0,17207165.0,Tormenta,3,1,0,0,1,1
Industriales,Jueves,3,0,0,1029,12.4,0,3528942.0,Lluvia,2,1,1,0,0,0
Exposiciones,Domingo,16,0,1,497,6.8,0,1688287.0,Nublado,2,0,0,0,1,1
San Antonio,Jueves,12,1,0,3128,7.9,2,9577970.0,Tormenta,4,1,0,1,1,0
Floresta,Jueves,4,0,0,900,13.0,4,2727677.0,Lluvia,3,1,1,0,1,0
Acevedo,Jueves,16,0,0,2133,9.5,1,7237466.0,Nublado,3,1,0,1,1,1
Envigado,Sabado,19,1,1,1357,7.1,1,4059180.0,Nublado,3,1,0,1,1,1
Madera,Viernes,23,0,0,393,10.5,1,1203891.0,Lluvia,2,0,0,1,0,0
Bello,Viernes,5,0,0,990,2.8,3,3230724.0,Lluvia,4,1,0,1,1,1
Acevedo,Lunes,21,0,0,3658,9.6,0,10807060.0,Nublado,1,1,0,0,0,0
Universidad,Miercoles,8,1,0,990,11.0,3,2893756.0,Soleado,2,0,0,1,0,1
Floresta,Miercoles,13,1,0,1509,17.2,4,4678653.0,Lluvia,4,1,1,1,1,0
Suramericana,Jueves,14,1,0,670,4.4,3,2152181.0,Nublado,4,1,1,1,0,0
Ayura,Viernes,3,0,0,1094,5.9,1,3244135.0,Soleado,2,0,1,0,0,0
Estadio,Martes,15,0,0,1072,8.4,4,3338459.0,Soleado,3,0,1,1,1,1
Poblado,Jueves,9,0,0,3922,2.5,4,11185283.0,Lluvia,1,1,0,0,0,0
Madera,Jueves,2,0,0,773,8.6,0,2407751.0,Nublado,2,0,0,1,1,0
Poblado,Sabado,10,0,1,5787,2.3,3,20217985.0,Lluvia,2,0,0,1,0,1
Industriales,Lunes,21,0,0,1108,9.2,2,3153521.0,Lluvia,4,1,0,1,1,0
Itagui,Sabado,4,0,1,487,10.0,3,1407560.0,Tormenta,1,0,0,1,0,0
Cisneros,Viernes,21,0,0,961,9.6,4,2934202.0,Tormenta,2,0,1,1,0,0
Hospital,Miercoles,4,0,0,602,11.7,0,1899540.0,Nublado,1,0,0,1,0,1
Tricentenario,Martes,5,0,0,1038,6.9,3,3171100.0,Nublado,4,0,1,1,1,0
Parque Berrio,Viernes,6,1,0,1961,19.2,3,6547008.0,Lluvia,4,1,1,1,0,0
La Estrella,Jueves,11,1,0,3573,7.4,1,10686678.0,Nublado,2,1,0,0,1,1
Alpujarra,Martes,13,1,0,1640,19.3,0,16745416.0,Lluvia,3,1,1,0,0,1
Santa Lucia,Jueves,22,0,0,759,9.0,0,2135297.0,Soleado,2,0,0,0,1,0
Hospital,Miercoles,3,0,0,544,6.7,4,1697269.0,Nublado,4,1,0,1,1,0
Industriales,Miercoles,19,1,0,974,5.8,0,3084112.0,Tormenta,1,0,0,0,1,0
La Estrella,Viernes,11,1,0,1398,3.7,1,4631656.0,Lluvia,3,1,1,0,0,0
Cisneros,Miercoles,14,1,0,1505,4.9,3,4252962.0,Lluvia,2,1,0,1,0,1
Cisneros,Lunes,15,0,0,337,10.6,1,1011094.0,Lluvia,1,0,0,1,0,0
Suramericana,Martes,13,1,0,1824,18.8,2,6350450.0,Soleado,4,1,1,1,0,1
Sabaneta,Jueves,17,1,0,974,8.1,2,2936169.0,Soleado,4,0,1,1,1,0
Sabaneta,Lunes,8,1,0,690,9.5,4,2318929.0,Tormenta,1,0,1,0,0,0
Tricentenario,Martes,7,1,0,1133,12.2,4,3294092.0,Nublado,3,1,0,1,1,0
Exposiciones,Martes,20,0,0,555,13.0,0,1839810.0,Tormenta,4,1,1,1,0,0
Sabaneta,Martes,22,0,0,504,3.2,0,1570681.0,Soleado,4,1,1,1,1,0
Parque Berrio,Sabado,22,0,1,1646,4.4,1,5521418.0,Tormenta,4,1,1,1,1,0
Sabaneta,Viernes,2,0,0,707,13.5,3,2239767.0,Lluvia,1,0,1,0,0,0
Poblado,Miercoles,21,0,0,2025,12.1,4,6576908.0,Soleado,2,1,0,0,1,0
Parque Berrio,Miercoles,5,0,0,1026,4.4,4,3515536.0,Lluvia,3,1,1,1,0,0
Ayura,Martes,5,0,0,475,9.5,4,1442259.0,Soleado,1,1,0,0,0,0
La Estrella,Jueves,8,1,0,3367,13.4,3,11522877.0,Tormenta,3,0,1,1,1,0
Poblado,Viernes,22,0,0,2147,6.9,3,6709610.0,Lluvia,2,0,0,1,0,1
Tricentenario,Miercoles,16,0,0,626,4.6,0,1870006.0,Lluvia,1,1,0,0,0,1
Sabaneta,Domingo,7,1,1,1268,7.9,1,3992660.0,Tormenta,4,1,0,1,1,1
Hospital,Lunes,18,1,0,159,23.1,3,1596013.0,Tormenta,2,0,0,1,0,0
Bello,Viernes,1,0,0,671,8.3,0,2060268.0,Soleado,3,1,0,0,1,1
Alpujarra,Lunes,17,1,0,1002,30.4,4,9454601.0,Lluvia,4,1,0,1,1,0
Caribe,Lunes,19,1,0,1513,16.6,4,4755197.0,Tormenta,4,1,1,1,0,0
Suramericana,Viernes,20,0,0,911,7.4,4,2919157.0,Soleado,4,1,1,1,1,0
Universidad,Viernes,14,1,0,1147,14.3,3,3614511.0,Lluvia,4,1,1,1,0,1
Ayura,Sabado,10,0,1,595,5.8,2,1947499.0,Nublado,3,1,0,0,1,0
Envigado,Lunes,7,1,0,1790,6.1,3,5409252.0,Tormenta,3,1,0,1,0,1
Cisneros,Jueves,4,0,0,343,5.2,0,1043562.0,Lluvia,3,1,1,0,1,0
Tricentenario,Martes,19,1,0,835,17.9,1,2710879.0,Soleado,4,1,0,1,1,0
Industriales,Lunes,15,0,0,966,4.1,2,2921974.0,Nublado,1,0,0,0,0,0
Caribe,Sabado,5,0,1,214,19.5,2,2440810.0,Lluvia,1,0,0,1,0,1
La Estrella,Lunes,16,0,0,1074,11.8,3,3212319.0,Lluvia,3,0,1,1,1,0
Niquia,Domingo,9,0,1,1515,9.3,3,5119023.0,Soleado,1,0,0,0,1,0
Tricentenario,Martes,10,0,0,306,4.9,1,952491.0,Lluvia,3,1,1,1,0,0
Bello,Lunes,3,0,0,614,3.7,4,2115951.0,Nublado,3,1,1,1,0,0
Tricentenario,Martes,4,0,0,1065,13.4,2,3292013.0,Tormenta,4,1,1,1,0,0
Madera,Jueves,3,0,0,1148,8.2,4,3376853.0,Soleado,2,0,0,1,1,0
Santa Lucia,Domingo,15,0,1,520,2.5,1,1642822.0,Tormenta,1,0,0,0,0,0
Floresta,Domingo,12,1,1,963,3.8,3,2928647.0,Tormenta,1,1,0,0,0,0
Parque Berrio,Martes,5,0,0,1084,9.3,3,3319341.0,Lluvia,4,1,0,1,1,0
Caribe,Viernes,12,1,0,2078,16.7,0,7241713.0,Tormenta,4,1,0,1,1,0
Tricentenario,Jueves,6,1,0,632,9.7,0,1876071.0,Soleado,1,0,0,0,1,0
Floresta,Jueves,12,1,0,953,15.3,0,2761884.0,Lluvia,2,0,0,1,0,0
Parque Berrio,Sabado,21,0,1,1048,2.5,4,3579758.0,Tormenta,4,1,1,0,1,0
Santa Lucia,Sabado,13,1,1,743,10.6,1,2236813.0,Tormenta,4,1,1,0,1,0
Prado,Martes,10,0,0,760,11.7,0,2412958.0,Tormenta,1,0,0,1,0,0
Madera,Lunes,18,1,0,380,52.7,2,4396381.0,Nublado,1,0,0,0,1,0
Exposiciones,Sabado,17,1,1,1148,13.6,2,3424591.0,Lluvia,4,1,1,1,1,0
Alpujarra,Martes,13,1,0,7349,15.1,0,21918700.0,Nublado,4,1,1,1,1,1
Itagui,Martes,15,0,0,563,10.7,3,1957301.0,Nublado,4,0,1,1,1,0
Floresta,Martes,15,0,0,855,13.4,0,2707581.0,Soleado,1,1,0,0,0,1
Tricentenario,Miercoles,7,1,0,1613,6.3,3,4937781.0,Soleado,4,1,1,0,1,0
Ayura,Miercoles,17,1,0,555,14.4,3,1867196.0,Nublado,1,1,0,0,0,0
Universidad,Viernes,16,0,0,1134,5.9,3,3237925.0,Lluvia,4,1,1,1,0,0
La Estrella,Sabado,1,0,1,1000,8.3,0,3245724.0,Tormenta,1,0,0,0,1,0
Itagui,Martes,16,0,0,160,8.9,4,1676075.0,Lluvia,3,1,0,0,1,0
Universidad,Martes,4,0,0,378,5.3,4,1122029.0,Soleado,4,1,1,1,0,0
Bello,Jueves,13,1,0,1781,12.8,4,6177222.0,Tormenta,3,1,1,1,0,0
Alpujarra,Sabado,12,1,1,2903,4.0,4,8728641.0,Lluvia,1,1,0,0,0,0
