origen,destino,distancia_km,tipo_transporte,dia_semana,hora,es_hora_pico,es_finde_semana,tiempo_viaje_min,costo,transferencias,clima,ocupacion_estimada
Floresta,Cisneros,4.1,Taxi,Miercoles,12,1,0,1.1,3501,1,Tormenta,29
Cisneros,Santa Lucia,7.9,Bus,Miercoles,16,0,0,3.9,7552,1,Tormenta,48
Cisneros,Universidad,1.3,Caminando,Domingo,3,0,1,2.1,1164,0,Soleado,42
Poblado,Acevedo,1.1,Cable,Jueves,21,0,0,0.2,1090,1,Lluvia,64
Sabaneta,Itagui,10.5,Cable,Sabado,19,1,1,3.6,9765,3,Tormenta,78
Estadio,Acevedo,14.3,Cable,Viernes,18,1,0,5.3,15001,0,Tormenta,42
Envigado,Madera,7.4,Metro,Martes,23,0,0,2.7,7696,0,Lluvia,49
Envigado,Suramericana,2.3,Cable,Lunes,19,1,0,0.8,1872,3,Soleado,74
Caribe,Aguacatala,12.2,Taxi,Martes,18,1,0,4.1,10492,3,Nublado,67
Parque Berrio,Caribe,7.0,Metro,Jueves,19,1,0,4.5,7322,3,Nublado,10
Exposiciones,Suramericana,3.6,Bus,Sabado,1,0,1,1.3,3787,1,Tormenta,99
Acevedo,Tricentenario,7.1,Bus,Jueves,4,0,0,2.6,5751,2,Soleado,63
Aguacatala,Bello,1.9,Taxi,Martes,17,1,0,0.5,1982,3,Nublado,27
Acevedo,Niquia,10.3,Bus,Viernes,18,1,0,7.2,9620,3,Soleado,94
Caribe,Sabaneta,4.3,Cable,Sabado,17,1,1,1.1,3462,2,Soleado,75
Suramericana,Niquia,9.2,Metro,Viernes,21,0,0,2.5,8004,2,Nublado,71
Suramericana,Universidad,7.7,Bus,Sabado,15,0,1,2.3,8655,0,Nublado,95
Tricentenario,Envigado,8.9,Bus,Martes,15,0,0,3.0,9968,2,Nublado,43
Industriales,Bello,1.4,Cable,Miercoles,10,0,0,0.3,1400,3,Nublado,26
Aguacatala,La Estrella,4.4,Caminando,Lunes,20,0,0,8.9,3687,3,Soleado,63
Madera,Itagui,6.2,Metro,Sabado,4,0,1,2.0,6039,2,Lluvia,49
Aguacatala,Envigado,7.6,Cable,Jueves,22,0,0,1.4,7410,0,Lluvia,90
Prado,Parque Berrio,5.4,Taxi,Sabado,16,0,1,1.3,5881,1,Lluvia,49
Universidad,Alpujarra,4.7,Caminando,Sabado,13,1,1,14.9,4094,2,Nublado,97
San Javier,Alpujarra,12.2,Caminando,Sabado,10,0,1,25.2,14274,2,Nublado,36
Sabaneta,Cisneros,6.2,Taxi,Viernes,20,0,0,1.2,6758,3,Lluvia,28
Prado,La Estrella,12.4,Metro,Sabado,3,0,1,11.3,11532,3,Tormenta,80
Itagui,Prado,4.7,Caminando,Sabado,13,1,1,18.1,4018,3,Tormenta,59
San Antonio,Acevedo,11.6,Bus,Jueves,3,0,0,6.0,9686,2,Soleado,80
Envigado,Prado,3.9,Bus,Miercoles,23,0,0,1.9,3140,0,Lluvia,89
Floresta,Prado,4.1,Taxi,Sabado,7,1,1,1.4,4022,1,Nublado,12
Envigado,Sabaneta,3.8,Taxi,Miercoles,5,0,0,0.8,3215,2,Tormenta,25
Acevedo,Prado,9.5,Cable,Jueves,7,1,0,3.6,7610,1,Lluvia,65
Itagui,La Estrella,2.4,Cable,Domingo,6,1,1,0.7,2827,3,Tormenta,12
Envigado,Suramericana,7.1,Taxi,Miercoles,21,0,0,1.7,5751,3,Tormenta,66
Sabaneta,Universidad,9.4,Taxi,Sabado,22,0,1,2.1,9456,1,Nublado,50
Alpujarra,Industriales,13.6,Taxi,Jueves,22,0,0,2.6,11043,1,Soleado,67
Santa Lucia,Cisneros,6.0,Metro,Sabado,18,1,1,2.5,6102,0,Tormenta,42
Alpujarra,Hospital,3.2,Taxi,Lunes,8,1,0,0.9,3427,1,Soleado,58
Alpujarra,Bello,2.3,Bus,Domingo,22,0,1,1.0,1932,2,Tormenta,29
Parque Berrio,Tricentenario,6.7,Cable,Viernes,5,0,0,1.3,5675,0,Nublado,46
Envigado,Aguacatala,12.3,Cable,Jueves,7,1,0,3.8,10467,2,Nublado,78
Acevedo,Suramericana,3.1,Cable,Sabado,11,1,1,3.1,3695,2,Soleado,74
Ayura,Bello,7.6,Cable,Martes,5,0,0,1.6,8444,2,Lluvia,69
Hospital,Aguacatala,3.3,Bus,Martes,3,0,0,1.4,3277,1,Soleado,46
Poblado,Envigado,13.4,Cable,Sabado,12,1,1,4.3,14874,3,Lluvia,77
Industriales,Caribe,3.9,Caminando,Sabado,4,0,1,8.1,3713,0,Tormenta,58
Exposiciones,Parque Berrio,3.8,Taxi,Lunes,10,0,0,0.6,4279,1,Tormenta,85
Suramericana,Estadio,4.4,Bus,Sabado,9,0,1,1.2,4506,2,Tormenta,61
Poblado,Floresta,2.8,Cable,Jueves,6,1,0,0.9,3156,0,Lluvia,57
Bello,Exposiciones,2.1,Cable,Jueves,20,0,0,0.4,2272,3,Soleado,71
Madera,Exposiciones,1.2,Taxi,Jueves,9,0,0,0.2,1304,2,Soleado,13
Ayura,Universidad,6.6,Caminando,Jueves,0,0,0,14.8,7379,2,Lluvia,57
Bello,Cisneros,11.6,Caminando,Lunes,3,0,0,22.6,13236,0,Nublado,58
San Antonio,Santa Lucia,3.0,Cable,Sabado,8,1,1,0.9,3003,1,Soleado,15
Parque Berrio,Niquia,6.8,Bus,Jueves,13,1,0,4.5,6324,1,Soleado,18
Caribe,Bello,7.6,Taxi,Viernes,2,0,0,1.9,7995,0,Soleado,95
Poblado,Cisneros,12.9,Taxi,Miercoles,23,0,0,3.2,13996,2,Lluvia,77
Tricentenario,Santa Lucia,12.3,Caminando,Miercoles,21,0,0,27.3,9975,3,Tormenta,44
San Antonio,Envigado,1.7,Taxi,Sabado,23,0,1,0.4,1583,0,Nublado,81
Hospital,Cisneros,14.0,Bus,Jueves,14,1,0,9.7,14056,3,Lluvia,48
Madera,Prado,11.8,Bus,Domingo,15,0,1,5.9,11883,3,Nublado,63
Aguacatala,Niquia,4.3,Taxi,Miercoles,3,0,0,1.0,4309,1,Tormenta,65
Hospital,San Antonio,3.2,Bus,Domingo,5,0,1,1.1,2694,0,Soleado,20
Suramericana,Floresta,7.9,Metro,Martes,17,1,0,3.9,8935,1,Soleado,10
Aguacatala,Caribe,10.5,Metro,Lunes,9,0,0,4.1,11980,0,Soleado,31
Parque Berrio,Alpujarra,14.8,Metro,Lunes,18,1,0,8.8,13128,3,Tormenta,23
Prado,Sabaneta,12.6,Taxi,Miercoles,16,0,0,2.2,13986,2,Nublado,92
Estadio,Santa Lucia,10.6,Caminando,Miercoles,15,0,0,17.2,12084,1,Tormenta,67
Alpujarra,Envigado,6.9,Taxi,Sabado,20,0,1,1.7,6610,2,Nublado,40
Poblado,Tricentenario,9.2,Bus,Domingo,2,0,1,2.8,9467,1,Nublado,19
Parque Berrio,Suramericana,11.1,Taxi,Viernes,10,0,0,2.1,12532,2,Nublado,70
La Estrella,Bello,5.8,Taxi,Sabado,12,1,1,1.5,5794,1,Tormenta,69
