perfil,viajes_mes,presupuesto,pref_horario,origen_frecuente,destino_frecuente,usa_metro,usa_taxi,distancia_promedio,tolerancia_transbordos,usa_horario_pico,eventos_mes
Frecuente,30,bajo,Hora Pico,Cisneros,Suramericana,1,0,5.2,0,1,2
Ocasional,6,bajo,Mañana,Poblado,Exposiciones,0,0,9.6,0,1,2
Turista,12,medio,Tarde,Industriales,Caribe,1,0,7.0,0,1,0
Turista,14,medio,Tarde,Hospital,Floresta,1,0,4.6,0,0,4
Frecuente,23,bajo,Hora Pico,Cisneros,Santa Lucia,1,0,12.0,2,0,2
Turista,7,medio,Tarde,Sabaneta,Exposiciones,1,0,12.8,1,1,8
Premium,14,alto,Flexible,Aguacatala,San Javier,0,1,7.7,2,0,4
Frecuente,55,bajo,Fuera de Hora Pico,Floresta,Ayura,1,0,3.2,1,1,8
Turista,13,medio,Tarde,Prado,Acevedo,1,0,6.4,3,1,2
Ocasional,6,bajo,Mañana,Bello,Suramericana,1,0,13.0,3,1,5
Ocasional,6,bajo,Mañana,Universidad,Aguacatala,0,0,8.9,0,0,0
Turista,7,medio,Tarde,Parque Berrio,Prado,1,0,8.6,1,1,1
Turista,4,medio,Tarde,Aguacatala,Prado,1,0,13.2,0,0,4
Premium,17,alto,Flexible,San Antonio,Santa Lucia,1,1,14.2,1,1,4
Turista,9,medio,Tarde,Exposiciones,Niquia,1,0,8.3,1,1,0
Premium,20,alto,Flexible,Tricentenario,Niquia,0,1,9.7,0,0,8
Frecuente,52,bajo,Hora Pico,Alpujarra,Tricentenario,1,0,12.5,2,0,3
Frecuente,43,bajo,Hora Pico,Exposiciones,Niquia,1,0,4.6,2,1,7
Premium,9,alto,Flexible,Envigado,Parque Berrio,1,1,14.4,0,0,1
Turista,6,medio,Tarde,Exposiciones,Ayura,1,0,9.3,3,1,4
Ocasional,4,bajo,Tarde,Aguacatala,Exposiciones,0,0,13.6,1,1,8
Frecuente,59,bajo,Hora Pico,Niquia,Hospital,1,0,14.5,2,0,5
Frecuente,45,bajo,Hora Pico,Ayura,San Javier,1,0,9.4,2,0,8
Turista,6,medio,Tarde,Parque Berrio,Floresta,1,0,13.4,0,0,7
Premium,19,alto,Flexible,Floresta,Aguacatala,1,1,5.4,3,1,0
Premium,23,alto,Flexible,Poblado,Itagui,1,1,3.8,2,1,6
Premium,23,alto,Flexible,Hospital,La Estrella,1,1,7.6,0,1,4
