origen,destino,distancia_km,dia_semana,hora,es_hora_pico,es_finde_semana,es_urgente,presupuesto,transporte_optimo
Prado,La Estrella,19.1,Jueves,1,0,0,0,medio,Metro
Universidad,Itagui,6.3,Domingo,22,0,1,1,medio,Taxi
Sabaneta,Parque Berrio,3.9,Sabado,13,1,1,1,medio,Taxi
Caribe,Itagui,5.3,Domingo,6,1,1,1,medio,Taxi
San Antonio,Estadio,8.0,Lunes,8,1,0,0,medio,Bus
La Estrella,San Javier,5.2,Jueves,8,1,0,1,bajo,Taxi
Niquia,Parque Berrio,6.3,Jueves,18,1,0,1,bajo,Taxi
Niquia,Prado,2.9,Martes,20,0,0,1,medio,Taxi
Envigado,Aguacatala,19.8,Viernes,14,1,0,1,bajo,Taxi
Hospital,Santa Lucia,6.1,Domingo,16,0,1,0,medio,Bus
Alpujarra,Envigado,12.6,Lunes,23,0,0,0,bajo,Bus
Floresta,Niquia,9.6,Jueves,12,1,0,0,bajo,Bus
Industriales,Caribe,19.1,Martes,21,0,0,1,medio,Taxi
Envigado,Itagui,9.7,Lunes,6,1,0,1,bajo,Taxi
Envigado,Bello,2.2,Jueves,20,0,0,1,alto,Taxi
Poblado,Tricentenario,16.6,Viernes,20,0,0,0,alto,Taxi
Floresta,Prado,7.2,Martes,22,0,0,1,medio,Taxi
Parque Berrio,Hospital,7.7,Miercoles,3,0,0,0,medio,Bus
Industriales,San Javier,18.5,Lunes,17,1,0,1,bajo,Taxi
Ayura,Suramericana,8.3,Viernes,4,0,0,1,alto,Taxi
Suramericana,Estadio,5.0,Viernes,19,1,0,0,bajo,Bus
Sabaneta,San Javier,17.9,Domingo,7,1,1,1,bajo,Taxi
Hospital,Suramericana,7.4,Domingo,21,0,1,0,medio,Bus
La Estrella,Alpujarra,16.4,Sabado,6,1,1,0,alto,Bus
Exposiciones,San Antonio,9.0,Viernes,9,0,0,1,alto,Taxi
Ayura,Parque Berrio,15.2,Martes,5,0,0,0,alto,Metro
Parque Berrio,Universidad,5.6,Jueves,13,1,0,0,bajo,Bus
Prado,Poblado,15.3,Viernes,11,1,0,0,bajo,Bus
Suramericana,Ayura,16.1,Martes,21,0,0,0,bajo,Bus
San Antonio,Santa Lucia,19.5,Viernes,6,1,0,0,alto,Bus
Industriales,Aguacatala,18.7,Martes,16,0,0,0,bajo,Bus
Parque Berrio,Alpujarra,5.2,Viernes,11,1,0,1,alto,Taxi
Madera,Exposiciones,15.7,Martes,14,1,0,0,medio,Bus
Ayura,Niquia,4.5,Domingo,6,1,1,1,alto,Taxi
Alpujarra,Universidad,15.1,Jueves,15,0,0,0,alto,Taxi
Alpujarra,San Antonio,9.5,Domingo,2,0,1,0,alto,Metro
Acevedo,Parque Berrio,13.0,Lunes,17,1,0,1,medio,Taxi
Itagui,Industriales,4.6,Miercoles,8,1,0,0,alto,Bus
Envigado,Itagui,18.1,Miercoles,10,0,0,0,alto,Taxi
Estadio,San Antonio,2.0,Lunes,12,1,0,0,alto,Caminando
San Antonio,Tricentenario,16.5,Miercoles,14,1,0,1,medio,Taxi
Exposiciones,Poblado,8.0,Sabado,6,1,1,1,bajo,Taxi
Poblado,Acevedo,19.2,Miercoles,14,1,0,1,bajo,Taxi
Sabaneta,Estadio,9.9,Miercoles,19,1,0,1,bajo,Taxi
Alpujarra,Tricentenario,1.6,Martes,6,1,0,0,medio,Bus
Niquia,Poblado,6.9,Domingo,16,0,1,1,medio,Taxi
Madera,Tricentenario,17.7,Viernes,11,1,0,1,alto,Taxi
Niquia,Bello,2.6,Jueves,12,1,0,0,alto,Metro
Tricentenario,San Antonio,8.3,Jueves,0,0,0,1,alto,Taxi
Exposiciones,Prado,17.2,Jueves,18,1,0,1,bajo,Taxi
La Estrella,Poblado,6.4,Jueves,8,1,0,0,bajo,Bus
Sabaneta,Aguacatala,8.9,Sabado,5,0,1,0,medio,Taxi
Universidad,Caribe,4.7,Viernes,9,0,0,0,medio,Metro
Acevedo,Hospital,10.1,Lunes,23,0,0,1,bajo,Taxi
La Estrella,Poblado,10.8,Viernes,8,1,0,0,medio,Metro
Hospital,Itagui,10.9,Viernes,10,0,0,1,alto,Taxi
Exposiciones,Madera,17.1,Sabado,5,0,1,1,bajo,Taxi
Suramericana,Estadio,14.8,Viernes,16,0,0,0,alto,Taxi
Suramericana,Prado,16.6,Martes,18,1,0,1,alto,Taxi
Acevedo,Caribe,9.6,Domingo,23,0,1,1,alto,Taxi
Exposiciones,Niquia,14.7,Martes,16,0,0,1,alto,Taxi
Bello,San Antonio,5.2,Martes,18,1,0,0,alto,Bus
Floresta,San Javier,4.4,Martes,6,1,0,1,alto,Taxi
Acevedo,Suramericana,9.1,Lunes,14,1,0,0,alto,Bus
Aguacatala,Santa Lucia,18.0,Lunes,7,1,0,1,alto,Taxi
