origen,destino,tipo_transporte,distancia_km,dia_semana,hora,es_hora_pico,es_finde_semana,tiempo_viaje_min,costo,transferencias,fecha,clima
La Estrella,Acevedo,Metro,3.0,Miercoles,7,1,0,3.8,3840,0,2025-05-21,Tormenta
Bello,Niquia,Metro,8.9,Martes,7,1,0,15.5,3840,0,2025-04-22,Tormenta
Itagui,Prado,Metro,5.8,Domingo,22,0,1,3.6,3200,0,2025-03-23,Soleado
Exposiciones,Acevedo,Taxi,12.3,Jueves,19,1,0,107.5,16008,0,2025-06-26,Tormenta
Madera,Itagui,Taxi,9.1,Martes,19,1,0,135.9,12936,1,2025-11-18,Soleado
Hospital,Acevedo,Cable,3.3,Viernes,14,1,0,16.1,0,0,2025-05-23,Soleado
Sabaneta,San Javier,Bus,3.3,Miercoles,23,0,0,5.4,2800,0,2025-10-01,Nublado
San Javier,San Antonio,Metro,6.6,Lunes,1,0,0,5.5,3200,0,2025-04-28,Lluvia
Universidad,San Javier,Cable,3.0,Martes,20,0,0,8.7,0,0,2025-07-22,Tormenta
Itagui,Exposiciones,Taxi,2.3,Miercoles,4,0,0,9.5,5340,0,2025-04-23,Tormenta
Sabaneta,Madera,Cable,8.4,Martes,19,1,0,54.0,0,1,2025-07-15,Soleado
San Javier,Envigado,Taxi,5.1,Martes,10,0,0,49.8,7580,0,2025-11-25,Nublado
Ayura,Acevedo,Taxi,3.1,Lunes,16,0,0,18.3,5980,0,2025-11-24,Soleado
Sabaneta,San Antonio,Cable,13.3,Viernes,3,0,0,53.9,0,1,2025-01-10,Soleado
Madera,Estadio,Cable,2.8,Miercoles,17,1,0,14.5,0,1,2025-02-05,Tormenta
Universidad,Itagui,Bus,7.1,Lunes,12,1,0,18.8,3360,1,2025-06-09,Lluvia
Niquia,Sabaneta,Caminando,1.1,Lunes,18,1,0,6.3,0,1,2025-04-28,Soleado
San Antonio,Madera,Caminando,4.0,Viernes,8,1,0,17.3,0,0,2025-05-02,Tormenta
Hospital,Cisneros,Cable,2.4,Lunes,6,1,0,12.2,0,0,2025-07-28,Soleado
San Javier,La Estrella,Metro,12.2,Sabado,12,1,1,10.9,3840,0,2025-02-01,Nublado
Industriales,Caribe,Taxi,7.2,Lunes,7,1,0,66.5,11112,1,2025-08-25,Soleado
Madera,Suramericana,Bus,7.7,Jueves,13,1,0,23.7,3360,1,2025-03-27,Soleado
Exposiciones,Prado,Cable,3.2,Martes,13,1,0,15.2,0,0,2025-05-27,Soleado
Floresta,San Antonio,Metro,8.0,Domingo,18,1,1,10.3,3840,0,2025-01-26,Soleado
Caribe,Madera,Caminando,6.7,Martes,21,0,0,28.4,0,0,2025-02-04,Soleado
Sabaneta,Madera,Cable,14.1,Miercoles,18,1,0,63.6,0,1,2025-12-03,Tormenta
Tricentenario,Santa Lucia,Taxi,1.1,Sabado,10,0,1,4.3,4380,1,2025-08-23,Nublado
Ayura,Prado,Bus,6.2,Sabado,2,0,1,6.4,2800,0,2025-06-28,Soleado
San Javier,Envigado,Taxi,4.7,Sabado,3,0,1,20.5,7260,1,2025-12-06,Lluvia
Sabaneta,Universidad,Taxi,8.1,Martes,21,0,0,37.5,9980,1,2025-04-15,Tormenta
